,movie_id,titile,comment_id,positive,negative
38,20667,"Дуже зворушливий фільм, і коли вже викінчаться поневіряння кримськотатарського народу.",14493,0.0311538260430097,0.1602760255336761
250,20667,Немае слів...лиш біль...глибока біль...і сльози...,14259,0.0534133315086364,0.7122421860694885
273,20667,Важкий шлях повернення додому.   Доля випропобовує  як кримських татар так і українців.,14235,0.0284460354596376,0.1097157895565033
297,20667,Один з найкращих фiльмiв. Велика подяка режисеру i всьому акторському колективу. Крим - земля кримсько-татарського народу.,14211,0.0100235687568783,0.0803674682974815
314,20667,"Неймовірний фільм, видно, що над сценарієм працювали дуже довго. Не має якихось обірваних чи незрозумілих сцен. Гарно показане життя вцілому: хабарництво, нерозуміння зі сторони інших людей, особливо сподобалась сцена з хрестом, адже вона показує, що не лише християни живуть в Україні, а і народи інших віросповідань. Єдиний мінус: це безперечна українська та російська, хотілось би почути акценти і непорозуміння між героями через язиковий бар‘єр",14190,0.0758681744337081,0.3140605390071869
443,20667,"Дуже круто! Дуже актуально. Як би не хотілося дивитися назад, потрібно це зробити, аби потім легше було йти вперед...",14059,0.0384761877357959,0.3276783227920532
663,20667,"Дуже справжній фільм. Переживала все разом із героями. Глибокий зміст - повернення додому, до своєї землі своїх коренів, примирення зі своїми",13824,0.0518554598093032,0.275139719247818
1103,20667,"Фільм, сповнений болю та відчаю, про втрату Батьківщини та відносини між сином та батьком. ",13366,0.0149670839309692,0.0460439100861549
1142,20667,"не розумію ненаших коментарів. Переклад можна якось організувати? бо їм какаяразніца, а мені - таки нє",13327,0.0197291281074285,0.0675566866993904
1642,20667,сильні враження залишив після перегляду цей фільм.,12817,0.2337163686752319,0.0321107059717178
1804,20667,Сильный фильм для сильных людей((((((,12652,0.015434555709362,0.132974237203598
1936,20667,"ЗАМЕЧАТЕЛЬНЫЙ фильм!!! душераздирающий...
разве можно  начинать войны ?!
сценарий прекрасен... операторская работа прекрасна...
фильм для молодежи - СТАНОВЛЕНИЕ ХАРАКТЕРА, возмужание личности...",12535,0.5156299471855164,0.0534133315086364
2113,20667,"Дякую, що надали можливість подивитись цю стрічку! Дійсно, ми нікому не потрібні, окрім самих себе...",12340,0.0600966475903987,0.4455395638942718
2115,20667,Фільм що залишає глибокий слід. Велика подяка за таке кіно!,12338,0.0637249946594238,0.0875738412141799
2124,20667,дуже сподобався фільм.Щиро дякую!,12329,0.015434555709362,0.0737062692642211
2206,20667,"Дуже сильно! Передано настільки всю глибину болю батька, брата, трагізм усіх подій... В одну годину й 36 хвилин умістити так багато: суть людської душі  (щирої й підлої), любов до рідної землі, розуміння неподільності й нерозривності з нею... ОСКАР!!!",12243,0.1097157895565033,0.5078218579292297
2240,20667,Дякую. Довго шукала де подивитись цей фільм... Дякую. Шедевр!!!,12209,0.2281664758920669,0.2173475176095962
2241,20667,Сильний фільм! Дякую! Це наш спільний біль...,12208,0.0197291281074285,0.0600966475903987
2351,20667,"Дуже гарний фільм! Не можу прийти до тями! Шедевр! Неймовірно! Хочеться дивитися знову, знову і знову!",12086,0.0980893224477768,0.1225332170724868
2361,20667,Дякую! Справжнє кіно!,12076,0.0901029855012893,0.0145135829225182
2489,20667,"Дивує ставлення до жінок, тих хто молодше, суспільних правил
Така поведінка не є близькою мені",11946,0.0953594595193862,0.3775506913661957
3579,20667,Так стають чоловіками. Так коріння вростає у землю. Назавжди.,10791,0.0120637798681855,0.585111141204834
4434,20667,"українка,живу в Криму.це реалії мого сьогоднішнього життя...",9875,0.0488677844405174,0.0953594595193862
4531,20667,"Киримлам моє співчуття і підтримка. Фільм Важкий. Знятий якісно. 
Недоліки - різала вухо театральна поставлена укаїнська мова. Особливо з вуст дівчини з СТО.",9768,0.0926977768540382,0.1128054112195968
4699,20667,Не можу прийти до тями. Прекрасна робота! Спасибі!,9581,0.1645264774560928,0.0120637798681855
4803,20667,Неймовірне кіно. Дякую!,9471,0.2450950145721435,0.132974237203598
5086,20667,Батьківщина одна. Має бути повернена рідним дітям. Хтось має це робити.,9163,0.0293222274631261,0.0737062692642211
5190,20667,"Захоплює з першої хвилини і не відпускає до кінця. З повагою до людей, що бережуть в серці людов",9056,0.0827073454856872,0.3007555902004242
5236,20667,"Дуже важкий для перегляду,але настількиж  і потрібний особливо в наш час такий фільм.Велика подяка автору і акторам.",8926,0.1128054112195968,0.1192129179835319
5348,20667,"Море сліз під час перегляду цього фільму... Дуже глибокий і думаю що лише маленьку частину його я зрозуміла насправді. Фільм не голівудський, де пошлятина і тупі жарти. Фільм дуже високого рівня. Неймовірні враження. Буду усім рекомендувати.",8884,0.0851090550422668,0.2281664758920669
5463,20667,"Складний, психорлогічо дуже складний фільм. Питання- а чи потрібно продукувати такі кінострічки?  Відповідаю: потрібно, щоби ми залишались  людяними один до одного і не були черстві до чужої драми. Ахтем це прекрасно розуміє і втілює в життя. Я переглядаю вже його третю кінороботу",8759,0.0901029855012893,0.1225332170724868
5915,20667,"кожному варто подивитись, розрив і плач. Сильний фільм, актори неймовірні! ",8261,0.0132328206673264,0.0953594595193862
5972,20667,Серце плаче від болю . Дякую за чудову гру акторів,8203,0.0566624328494071,0.3923468291759491
6654,20667,"Фільм не залишає байдужим...Глибокий...Чудовий сценарій, постановка і гра акторів...",7550,0.0302245877683162,0.4149088561534881
6784,20667,"Фільм про важливе, про вічне.
Обов'язково до перегляду.",7353,0.0302245877683162,0.0460439100861549
6865,20667,"Я би дуже рекомендував органам освіти та директорам шкіл  організувати перегляд цього фільму у школах разом з батьками з обов""язковим  його обговоренням. Розумію, це непросто , але він вартий десятка виховних годин. Погодьтеся...",7210,0.0600966475903987,0.1366183906793594
7150,20667,Відчуваю біль цього  багатостраждального народу після перегляду цього фільму. Гарна гра акторів. Дякую,6901,0.0803674682974815,0.1480571925640106
7520,20667,"О жизни как она есть. Талантливо снято. Чтобы так просто ""рассказать""о сложном нужен талант.",6483,0.2568419873714447,0.0875738412141799
7544,20667,"Такі фільми необхідні .Трагедія татарського народу -наша трагедія .
Душа плаче ....Наші народи стільки витерпіли біди ,що не передати ..Але Бог на небі є. І в нас все буде добре .Дякую за фільм .",6456,0.0550152920186519,0.3849221765995025
7766,20667,Чому Ірдоган не підтримав Кримських Татар ?  Турчинов сука здав Крим ! Ссикуни блядь !,6172,0.0191340371966362,0.6224693655967712
7906,20667,"це кіно про важливе, варто перегляду, навіть якщо важко дивитися... дякую усім за створення фільму!",6046,0.0321107059717178,0.1097157895565033
9622,20667,"Ещё раз убедился, сколько препятствий со стороны государства существует против простого человека.",4163,0.0216253343969583,0.6791887283325195
9767,20667,Фильм очень хороший. Высокий уровень!,4020,0.8774868249893188,0.0244330931454896
9882,20667,ні один перегляд не відбувається без помилки відтворення. Нащо взагалі потрібен такий світ тіві?!,3898,0.1192129179835319,0.1403462588787078
