,movie_id,titile,comment_id,positive,negative,speech,neutral,skip
3,20722,"Дякую за приставку, працює добре",14544,0.0222961846739053,0.0926977768540382,0.3702353835105896,0.0197291281074285,0.4073434174060821
4,20326,як на мене зробити мульт без слів но щоб співчував героям це круто,14540,0.0675566866993904,0.0373368822038173,0.0046195713803172,0.0033866118174046,0.9850529432296752
5,15553,якісна фантастика! Рекомендую!,14539,0.4765896201133728,0.0005457804654724,0.000440557138063,0.1159707233309745,0.4688006341457367
6,20736,Виктор Гюго гений! Книга выше всяких похвал! после книги фильм немного скучноват и скуден. Кто умеет читать и старше 20 лучше сначала прочитайте книгу,14538,0.0716012045741081,0.0408557131886482,0.0015587612288072,0.6297846436500549,0.1441588550806045
7,21915,пане з ніком гість в франції можна ставати максимум 3 звезди.,14537,0.0373368822038173,0.0488677844405174,0.0047651990316808,0.1441588550806045,0.6584275364875793
8,22468,imi place filmul,14526,0.0042087957262992,0.0029910325538367,1.000000338535756e-05,0.979677677154541,0.1688669472932815
16,19186,Неймовірно сильний фільм! Дивилася на одному диханні! Дуже рекомендую!,14516,0.1602760255336761,0.0758681744337081,0.0040801377035677,0.0460439100861549,0.585111141204834
19,20573,Найкращий фільм ??,14513,1.000000338535756e-05,0.00081408576807,1.000000338535756e-05,0.9416641592979432,0.9820237755775452
20,21012,режисер обкуривя? що за маячня?,14512,1.000000338535756e-05,0.0042087957262992,0.0005457804654724,0.9399233460426332,0.4455395638942718
24,20705,ок дюже смачный фильму,14507,0.2393593490123748,0.0396488420665264,1.000000338535756e-05,0.0737062692642211,0.2281664758920669
26,22181,чіпляє до глибини душі,14505,0.0351548418402671,0.0926977768540382,1.000000338535756e-05,0.3849221765995025,0.4765896201133728
28,14109,Без української озвучки дивитись не приємно.,14503,0.0169249139726161,0.3007555902004242,0.0007421813788823,0.4225146472454071,0.3849221765995025
30,17753,ето офигенно ????????????????????????????,14501,0.0004978571087121,0.2509227991104126,0.0047651990316808,0.1037586331367492,0.1441588550806045
31,8917,"фільм вартий уваги і часу, гра акторів на тверду 4(із 5)
Сам фільм 9з 10",14500,0.0061075626872479,0.015434555709362,0.0013770253863185,0.7431780099868774,0.4455395638942718
32,20736,Фільм вартий перегляду,14499,0.003085370408371,0.0008395892800763,1.000000338535756e-05,0.967909336090088,0.3923468291759491
33,20584,просто відбірний кал...,14498,0.0116972560063004,0.3415925204753876,1.000000338535756e-05,0.3998216390609741,0.3557848632335663
36,21012,"Дуже прикольний фільм,дивився з насолодою!!!??????",14495,0.015434555709362,0.3923468291759491,0.0259673595428466,0.0018775658681988,0.9724247455596924
38,20667,"Дуже зворушливий фільм, і коли вже викінчаться поневіряння кримськотатарського народу.",14493,0.0311538260430097,0.1602760255336761,0.0017646141350269,0.0901029855012893,0.9124462008476256
39,19186,Диб'ли навіщо робити все платно .Заробляють над людьми .,14492,0.005394937004894,0.5698626637458801,0.000355991651304,0.1968362182378769,0.3998216390609741
40,17809,Однозначно шикарний мульт. я,14491,0.538993239402771,0.0021927168127149,1.000000338535756e-05,0.2069040536880493,0.1128054112195968
41,21012,"може і тепер цю нечисть  що грабуе  Україну,так само зробити з ними, ",14490,0.1225332170724868,0.3923468291759491,0.0083257788792252,0.0057402467355132,0.8311530351638794
42,21144,"На сайті написано, що фільм виробництва Австрія-США.  Насправді ж фільм виробництва Австралія-США. ))",14489,0.0953594595193862,0.0420977249741554,0.0034934247378259,0.59267657995224,0.3775506913661957
43,20667,Дякую.,14488,1.000000338535756e-05,0.0021257030311971,1.000000338535756e-05,0.1871426999568939,0.6370407938957214
47,20573,Як отримати промокод?,14477,1.000000338535756e-05,0.0006978511810302,1.000000338535756e-05,0.9946250915527344,0.5698626637458801
48,15541,Поміняйте назву фільму,14478,0.0032830648124217,0.0244330931454896,1.000000338535756e-05,0.9893575310707092,0.1037586331367492
54,20541,клас:),14484,0.6224693655967712,1.000000338535756e-05,1.000000338535756e-05,0.0008930459152907,0.3276783227920532
55,21012,"Фільм цікавий , більш філософський .
Хто має розум , той зрозуміє , про що ідея  цього фільму.",14485,0.0100235687568783,0.1645264774560928,0.0116972560063004,0.0637249946594238,0.9591643214225768
56,16495,примитив во всех аспектах... зря потраченное время,14486,0.4149088561534881,0.287777841091156,0.0164130311459302,0.0191340371966362,0.132974237203598
60,22425,Сюжет буде цікавим дітям молодших класів. Анімація і стиль сподобається усім. Рекомендую.,14471,0.3073680400848388,0.0474358722567558,0.0022618477232754,0.1778208613395691,0.3140605390071869
61,19186,"Фільм чудовий, обов'язковий до перегляду.",14470,0.0518554598093032,0.027595279738307,0.0005133356316946,0.0351548418402671,0.9381340146064758
62,22425,"чудовий мультик!!! мені шкода за те, що я пропустив його в кінотеатрах...",14469,0.0267692860215902,0.0695517510175705,0.0251888446509838,0.0488677844405174,0.8740872144699097
63,22208,"Дуже гарно знятий фільм. Деяк кадри настільки вдало зняті, що хочеться перемотвувати назад і знову дивитися на них.",14468,0.0244330931454896,0.1294127255678177,0.0036036029923707,0.0926977768540382,0.9124462008476256
64,14405,фільм гарний але чуму тільки 1 частина з 6,14467,0.0046195713803172,0.0136468354612588,0.000355991651304,0.1480571925640106,0.9553291201591492
65,20544,"Фільм класний , я пережила кожне змагання цього коня , протягом всього фільму. Це той фільм який я подиилась ще раз",14466,0.0259673595428466,0.0980893224477768,0.005230126902461,0.0113417543470859,0.9879562258720398
66,21012,Непогано),14465,0.0362300537526607,1.000000338535756e-05,1.000000338535756e-05,0.1259327530860901,0.1968362182378769
69,10563,обов'язково до перегляду )),14462,0.4688006341457367,0.0034934247378259,1.000000338535756e-05,0.4073434174060821,0.2509227991104126
73,21012,Це срач а не фільм...(((,14458,1.000000338535756e-05,0.9046605229377748,1.000000338535756e-05,0.0015587612288072,0.7057950496673584
74,21012,Несподівано чудовий фільм. Як для українського кінематографа.,14457,0.0384761877357959,0.0803674682974815,0.0009210511343553,0.1602760255336761,0.5156299471855164
75,18752,"Фільм класний, але дуже важкий (((",14456,0.0011795104946941,0.3345994651317596,1.000000338535756e-05,1.000000338535756e-05,0.9626831412315368
76,3588,"Дивитись можна. Напевно не варто порівнювати ці два фільми. Цей фільм схожий тільки задумом однак не сюжетом. Звичайно в ньому є чимало логічних протиріч, однак подивитись варто.  
Крім того, дивлячись римейки завжди порівнюєш із так би мовити з оригіналом який став класичним даного жанру. І ще -  події чомусь відбуваються не на Марсі, а на Землі, якось аж розчарувався.",14455,0.0488677844405174,0.2069040536880493,0.0145135829225182,0.0758681744337081,0.8439050912857056
